WKT,Site_ID,Location,Lat,Long
POINT (-6.3098756 53.3137503),99,Kimmage Rd West @ Lorcan O Toole Pk,53.3137503,-6.3098756
POINT (-6.3048974 53.3125635),100,Kimmage Rd West @ Whitehall Rd,53.3125635,-6.3048974
POINT (-6.3437672 53.3284819),101,Kylemore Rd @ Old Naas Rd,53.3284819,-6.3437672
POINT (-6.2505915 53.3263571),102,Leeson Pk @ Chelmsford Rd,53.3263571,-6.2505915
POINT (-6.245889419 53.32822155),103,Leeson St @ Appian Way/Waterloo Rd & ped at Sussex Rd,53.32822155,-6.245889419
POINT (-6.252651 53.331929),104,Leeson St Bridge / Mespil Rd,53.331929,-6.252651
POINT (-6.341007 53.3237),105,Long Mile Rd @ Walkinstown Av,53.3237,-6.341007
POINT (-6.3529424 53.3512644),106,Lucan Rd @ Kylemore Rd,53.3512644,-6.3529424
POINT (-6.218754 53.375512),107,Malahide Rd @ Collins Av,53.375512,-6.218754
POINT (-6.22635 53.368508),108,Malahide Rd @ Griffith Av,53.368508,-6.22635
POINT (-6.210365073 53.37992328),109,Malahide Rd @ Kilmore Rd,53.37992328,-6.210365073
POINT (-6.197583 53.389413),110,Malahide Rd @ Tonlegee Rd,53.389413,-6.197583
POINT (-6.215500268 53.32051834),111,Merrion Rd @ Ailesbury Rd,53.32051834,-6.215500268
POINT (-6.230326 53.32881),112,Merrion Rd @ Anglesea Rd & Ped @ RDS,53.32881,-6.230326
POINT (-6.2129471 53.31886422),113,Merrion Rd @ Nutley Lane,53.31886422,-6.2129471
POINT (-6.224458 53.326497),114,Merrion Rd @ Sandymount Av,53.326497,-6.224458
POINT (-6.253613 53.338144),115,Merrion Row @ Merrion St,53.338144,-6.253613
POINT (-6.246438 53.339619),116,Merrion Sq @ Holles St,53.339619,-6.246438
POINT (-6.248174246 53.31063183),117,Milltown Rd @ Dundrum Rd,53.31063183,-6.248174246
POINT (-6.24093233 53.32511941),118,Morehampton Rd @ Herbert Pk,53.32511941,-6.24093233
POINT (-6.266551795 53.37184485),119,Mobhi Rd @ Botanic Av,53.37184485,-6.266551795
POINT (-6.240624 53.337665),120,Mount St Bridge @ Warrington Pl,53.337665,-6.240624
POINT (-6.25708867 53.35739626),121,Mountjoy Sq @ Belvidere Pl,53.35739626,-6.25708867
POINT (-6.268734 53.35485),122,Mountjoy St @ Western Way,53.35485,-6.268734
POINT (-6.260328161 53.32344024),123,Mountpleasant Av @ Charleston Rd,53.32344024,-6.260328161
POINT (-6.342872 53.326971),124,Naas Rd @ Kylemore Rd (LUAS),53.326971,-6.342872
POINT (-6.308256 53.36492),125,Navan Rd @ Nephin Rd,53.36492,-6.308256
POINT (-6.27226 53.341537),126,Nicholas St @ Bride Rd,53.341537,-6.27226
POINT (-6.275144249 53.36072191),127,NCR @ Cabra Rd,53.36072191,-6.275144249
POINT (-6.2585689 53.3593471),128,NCR @ Belvidere Rd,53.3593471,-6.2585689
POINT (-6.2550038 53.3584208),129,NCR @ Fitzgibbon St,53.3584208,-6.2550038
POINT (-6.298209 53.3522818),130,NCR @ Infirmary Rd,53.3522818,-6.298209
POINT (-6.301263742 53.3899657),131,North Rd @ Mellowes Rd,53.3899657,-6.301263742
POINT (-6.23904 53.360634),132,North Strand Rd @ East Wall Rd,53.360634,-6.23904
POINT (-6.2385299 53.3361191),133,Northumberland Rd @ Haddington Rd,53.3361191,-6.2385299
POINT (-6.235354 53.332259),134,Northumberland Rd @ Pembroke Rd,53.332259,-6.235354
POINT (-6.269834935 53.30694851),136,Orwell Rd @ Orwell Pk,53.30694851,-6.269834935
POINT (-6.259536597 53.32080346),137,Palmerston Rd @ Belgrave Rd,53.32080346,-6.259536597
POINT (-6.295636 53.348199),138,Parkgate St @ Infirmary Rd,53.348199,-6.295636
POINT (-6.2838079 53.3304294),139,Parnell Rd @ Clogher Rd,53.3304294,-6.2838079
POINT (-6.263430138 53.35442851),140,Parnell Sq @ North Frederick St,53.35442851,-6.263430138
POINT (-6.256897 53.354212),141,Gardiner St @ Parnell St / Summerhill and ped at Rutland St,53.354212,-6.256897
POINT (-6.272633191 53.33885189),142,Patrick St @ Dean St,53.33885189,-6.272633191
POINT (-6.24470088 53.34350367),143,Pearse St @ Erne St,53.34350367,-6.24470088
POINT (-6.241147 53.342762),144,Pearse St @ Macken St,53.342762,-6.241147
POINT (-6.246392619 53.34351786),145,Pearse St @ Sandwith St,53.34351786,-6.246392619
POINT (-6.249295 53.34413),146,Pearse st @ Westland row & ped at church,53.34413,-6.249295
POINT (-6.232952178 53.32949201),147,Pembroke Rd @ Shelbourne Rd,53.32949201,-6.232952178
POINT (-6.272693223 53.36253281),148,Phibsboro Rd @ Connaught St & ped at Shopping Centre,53.36253281,-6.272693223
POINT (-6.272678945 53.36078483),149,NCR @ Phibsboro Rd (Doyles Corner),53.36078483,-6.272678945
POINT (-6.271783924 53.36462639),150,Phibsboro Rd @ Whitworth Rd,53.36462639,-6.271783924
POINT (-6.288761 53.357216),151,NCR @ Prussia St (Hanlons Corner),53.357216,-6.288761
POINT (-6.280432 53.346386),152,Queen St Bridge,53.346386,-6.280432
POINT (-6.2546633 53.3250988),153,Ranelagh Rd @ Fields Tce / Chelmsford Rd,53.3250988,-6.2546633
POINT (-6.274611236 53.31189783),155,Rathgar Rd @ Orwell Rd,53.31189783,-6.274611236
POINT (-6.270479733 53.31719345),156,Rathgar Rd @ Frankfort Av,53.31719345,-6.270479733
POINT (-6.264279 53.32995),157,Rathmines Bridge @ Canal Rd,53.32995,-6.264279
POINT (-6.265737 53.322264),158,Rathmines Rd @ Castlewood Av ,53.322264,-6.265737
POINT (-6.263829935 53.31324322),159,Rathmines Rd @ Highfield Rd,53.31324322,-6.263829935
POINT (-6.23170508 53.3415926),160,Ringsend Rd @ South Lotts Rd,53.3415926,-6.23170508
POINT (-6.196310393 53.3751504),161,Howth Rd  @ Church,53.3751504,-6.196310393
POINT (-6.2651203 53.3782629),162,Mobhi Rd @ Griffith Av,53.3782629,-6.2651203
POINT (-6.257122178 53.33611851),163,St Stephens Green @ Earlsfort Tce,53.33611851,-6.257122178
POINT (-6.262615281 53.33759778),164,St Stephens Green @ Harcourt St (LUAS),53.33759778,-6.262615281
POINT (-6.241455135 53.31857895),165,Sandford Rd @ Milltown Rd,53.31857895,-6.241455135
POINT (-6.256035 53.353031),166,Gardiner St @ Sean Mc Dermott St,53.353031,-6.256035
POINT (-6.2318248 53.3336837),167,Shelbourne Rd @ Landsdowne Rd,53.3336837,-6.2318248
POINT (-6.2350137 53.3502273),168,Sheriff St @ Wapping St,53.3502273,-6.2350137
POINT (-6.2834675 53.3315539),170,SCR @ Donore Av,53.3315539,-6.2834675
POINT (-6.307669767 53.34061163),171,SCR @ Emmet Rd,53.34061163,-6.307669767
POINT (-6.3080677 53.3437098),172,SCR @ St Johns Rd,53.3437098,-6.3080677
POINT (-6.26539315 53.3414693),173,Georges St @ Stephens St,53.3414693,-6.26539315
